Date,Open,High,Low,Close,Adj Close,Volume
2019-07-01,203.169998,221.369995,198.410004,213.039993,210.527466,473957000
2019-08-01,213.899994,218.029999,192.580002,208.740005,206.278168,681074600
2019-09-01,206.429993,226.419998,204.220001,223.970001,222.169479,542567100
2019-10-01,225.070007,249.750000,215.130005,248.759995,246.760193,608302700
2019-11-01,249.539993,268.000000,249.160004,267.250000,265.101563,448331500
2019-12-01,267.269989,293.970001,256.290009,293.649994,292.163818,597198700
2020-01-01,296.239990,327.850006,292.750000,309.510010,307.943604,733592600
2020-02-01,304.299988,327.220001,256.369995,273.359985,271.976532,754645900
2020-03-01,282.279999,304.000000,212.610001,254.289993,253.603500,1570018100
2020-04-01,246.500000,294.529999,236.899994,293.799988,293.006836,816222400
2020-05-01,286.250000,324.239990,285.850006,317.940002,317.081665,701520600
2020-06-01,317.750000,331.750000,317.209991,331.500000,331.500000,124410600
