Date,Open,High,Low,Close,Adj Close,Volume
2019-07-01,55.360001,56.950001,53.660000,54.490002,52.536339,93618000
2019-08-01,54.599998,55.770000,49.029999,51.189999,49.354652,103203700
2019-09-01,51.250000,58.099998,50.040001,55.310001,53.815197,99636600
2019-10-01,55.259998,56.810001,51.570000,54.779999,53.299522,103688200
2019-11-01,55.080002,64.500000,55.009998,59.599998,57.989254,163083400
2019-12-01,59.299999,59.919998,56.759998,58.959999,57.793896,88029800
2020-01-01,59.279999,59.779999,50.660000,50.849998,49.844292,121820700
2020-02-01,51.040001,54.529999,44.610001,45.759998,44.854961,104995500
2020-03-01,45.919998,54.230000,40.520000,45.750000,45.237186,223206000
2020-04-01,45.070000,46.450001,39.410000,43.290001,42.804764,142648600
2020-05-01,42.770000,43.700001,36.650002,42.939999,42.458683,152319600
2020-06-01,42.709999,46.369999,42.599998,45.349998,45.349998,27737900
