Date,Open,High,Low,Close,Adj Close,Volume
2019-07-01,139.600006,151.940002,139.130005,148.240005,141.410492,80164100
2019-08-01,148.899994,152.949997,128.830002,135.529999,129.286041,96062300
2019-09-01,134.850006,146.570007,133.330002,145.419998,140.354889,61812000
2019-10-01,145.589996,147.350006,130.899994,133.729996,129.072067,91419500
2019-11-01,134.500000,139.139999,132.750000,134.449997,129.766998,64772300
2019-12-01,134.449997,136.419998,130.690002,134.039993,130.899277,71853900
2020-01-01,135.000000,145.789993,133.199997,143.729996,140.362228,113249700
2020-02-01,144.250000,158.750000,126.360001,130.149994,127.100426,118139400
2020-03-01,130.750000,136.100006,90.559998,110.930000,109.461983,190076300
2020-04-01,106.360001,129.309998,104.519997,125.559998,123.898369,130693600
2020-05-01,123.190002,126.970001,111.809998,124.900002,123.247108,92884000
2020-06-01,124.639999,135.880005,124.029999,135.750000,135.750000,24894200
